Student_ID,Gender,Study_Hours_per_Week,Attendance_Rate,Past_Exam_Scores,Parental_Education_Level,Internet_Access_at_Home,Extracurricular_Activities,Final_Exam_Score,Pass_Fail
S439,Male,34,67.69356882806247,75,Bachelors,No,No,56,Fail
S152,Male,14,52.782674467848764,77,PhD,No,Yes,50,Fail
S170,Female,39,60.253878007472956,57,Masters,Yes,Yes,50,Fail
S235,Female,11,84.68588037016693,88,Bachelors,No,Yes,67,Pass
S497,Male,10,99.96767497829174,55,High School,No,No,59,Fail
S379,Female,16,54.346250747517466,87,High School,No,No,50,Fail
S009,Male,31,50.68359824134986,78,Masters,No,No,50,Fail
S340,Female,15,79.37268021170371,83,High School,Yes,No,61,Pass
S130,Female,17,82.4411420145788,98,PhD,No,Yes,62,Pass
S437,Female,25,88.54556885321352,87,High School,No,No,61,Pass
S310,Female,36,95.92273624696506,88,High School,Yes,No,64,Pass
S426,Male,27,55.32893650643372,82,PhD,Yes,No,52,Fail
S420,Female,14,90.75272142012285,59,Bachelors,Yes,Yes,55,Fail
S054,Female,28,64.89797257709752,67,Masters,Yes,No,51,Fail
S019,Female,11,62.05424161648159,63,High School,No,No,52,Fail
S018,Female,32,68.89252746378932,66,PhD,Yes,Yes,58,Fail
S216,Male,21,65.80982911482474,92,Bachelors,Yes,No,65,Pass
S097,Female,29,68.86429826210363,92,High School,No,No,64,Pass
S322,Male,16,60.634039217061314,76,Bachelors,No,No,50,Fail
S119,Female,30,55.243458326624044,98,Bachelors,No,No,62,Pass
S158,Female,29,94.83051314870104,61,High School,Yes,No,50,Fail
S353,Male,14,94.87152049094422,74,Masters,Yes,Yes,63,Pass
S448,Female,37,86.07664305609528,60,Bachelors,Yes,No,51,Fail
S059,Male,11,92.10457075093548,95,Masters,Yes,No,62,Pass
S138,Male,31,66.8723416935959,81,PhD,Yes,No,59,Fail
S243,Female,22,85.34902306217296,66,High School,No,Yes,50,Fail
S189,Male,25,54.39340556213284,52,Bachelors,Yes,Yes,50,Fail
S169,Male,39,91.92912793513125,87,High School,No,No,73,Pass
S412,Female,38,82.25270838846647,95,Bachelors,No,No,76,Pass
S204,Male,10,96.32247117948556,97,PhD,Yes,No,56,Fail
S226,Female,32,67.7681225909198,88,Bachelors,No,No,56,Fail
S346,Male,18,74.85059744106245,67,Bachelors,No,No,50,Fail
S223,Female,28,76.98905309573165,81,Bachelors,Yes,Yes,65,Pass
S235,Female,11,84.68588037016693,88,Bachelors,No,Yes,67,Pass
S280,Female,39,89.50423185620434,67,PhD,No,Yes,64,Pass
S449,Male,30,80.52023335039789,52,PhD,Yes,No,59,Fail
S047,Female,29,81.83221608111413,51,Masters,No,Yes,52,Fail
S197,Female,29,92.53637300082273,55,PhD,No,No,61,Pass
S471,Male,22,53.888267203947855,55,Masters,No,Yes,50,Fail
S294,Female,21,91.8745394501246,96,Masters,Yes,Yes,65,Pass
S182,Male,28,79.69415487789495,66,Bachelors,No,No,50,Fail
S072,Female,29,84.88337868484659,54,Masters,Yes,Yes,50,Fail
S384,Male,27,93.82220379376469,57,High School,Yes,No,57,Fail
S274,Female,34,55.03973015079433,71,High School,Yes,Yes,50,Fail
S017,Female,31,87.85406010212279,88,Masters,Yes,No,65,Pass
S236,Female,28,58.33653799966916,51,Bachelors,No,No,50,Fail
S273,Female,32,56.955809707153094,61,High School,Yes,Yes,50,Fail
S375,Male,36,97.22048627886367,93,Masters,Yes,Yes,65,Pass
S053,Male,21,95.52356392016365,62,Masters,No,No,50,Fail
S103,Female,39,76.82953229936663,62,Masters,Yes,Yes,68,Pass
S278,Female,26,55.11063321125998,71,High School,Yes,No,50,Fail
S365,Male,22,66.96356229480955,73,Masters,No,No,61,Pass
S249,Male,30,87.73176459300583,84,PhD,No,Yes,69,Pass
S316,Female,34,58.27566587139869,51,High School,No,No,54,Fail
S104,Female,28,96.20208795537167,83,High School,No,Yes,67,Pass
S329,Female,20,59.2231435709428,96,Bachelors,No,Yes,64,Pass
S146,Male,14,61.26663988562641,63,High School,Yes,No,50,Fail
S157,Male,39,99.86277673841971,83,Masters,No,No,64,Pass
S331,Male,27,65.49684631343055,86,High School,Yes,No,55,Fail
S175,Female,31,76.49200115905583,55,Masters,Yes,No,50,Fail
S375,Male,36,97.22048627886367,93,Masters,Yes,Yes,65,Pass
S365,Male,22,66.96356229480955,73,Masters,No,No,61,Pass
S252,Male,13,68.94107827784579,68,Masters,No,No,50,Fail
S279,Male,26,95.93752611303732,75,Masters,No,No,61,Pass
S307,Female,21,96.14801158992424,84,Bachelors,Yes,No,65,Pass
S157,Male,39,99.86277673841971,83,Masters,No,No,64,Pass
S275,Male,12,62.80077659268311,66,High School,Yes,Yes,50,Fail
S368,Female,15,77.8360792391683,95,Masters,No,Yes,61,Pass
S102,Female,19,99.31284979334076,60,Bachelors,No,No,60,Pass
S246,Female,33,60.22722965847316,83,PhD,No,No,56,Fail
S092,Female,39,54.6145293114373,73,High School,No,Yes,60,Pass
S391,Male,38,68.15296060975453,79,High School,No,Yes,60,Pass
S196,Female,36,55.334962505671804,82,Masters,No,No,56,Fail
S487,Male,33,86.20516646365692,68,Bachelors,Yes,No,51,Fail
S310,Female,36,95.92273624696506,88,High School,Yes,No,64,Pass
S111,Female,35,56.65584642937391,100,PhD,No,No,57,Fail
S086,Male,14,76.72117518662616,50,PhD,Yes,Yes,50,Fail
S251,Female,34,76.82406757422973,55,High School,Yes,No,50,Fail
S127,Female,31,67.14634321391301,58,High School,No,No,50,Fail
S089,Female,15,56.43741991498219,58,Bachelors,Yes,Yes,50,Fail
S486,Female,19,87.95179227694248,100,High School,No,No,64,Pass
S119,Female,30,55.243458326624044,98,Bachelors,No,No,62,Pass
S498,Female,27,77.79032907185898,67,Bachelors,No,Yes,58,Fail
S241,Female,30,99.88463079619217,98,Masters,Yes,No,74,Pass
S406,Female,30,74.2389183575173,71,High School,Yes,Yes,60,Pass
S131,Female,22,73.97910508771251,91,PhD,No,No,57,Fail
S429,Male,26,63.32491966854411,62,Bachelors,Yes,Yes,50,Fail
S034,Female,32,98.39868827199115,64,PhD,Yes,No,67,Pass
S425,Female,34,86.01012908161479,51,PhD,No,No,58,Fail
S313,Female,30,95.63747314395644,78,High School,Yes,No,61,Pass
S147,Male,31,68.26784098370288,86,High School,Yes,Yes,63,Pass
S442,Female,19,54.516848028880396,64,Bachelors,No,No,50,Fail
S446,Male,21,71.85966981786217,98,High School,Yes,No,62,Pass
S101,Male,37,79.86390411277154,73,PhD,No,Yes,70,Pass
S339,Female,38,91.82824066461664,64,PhD,Yes,Yes,61,Pass
S125,Male,11,76.76677820077617,72,PhD,No,Yes,57,Fail
S259,Female,12,88.59409902991226,77,High School,Yes,Yes,50,Fail
S387,Male,35,95.5312001770152,66,High School,Yes,No,65,Pass
S242,Male,27,87.62015600194113,90,PhD,No,Yes,52,Fail
S338,Male,26,68.88629737200847,87,Bachelors,Yes,Yes,65,Pass
S340,Female,15,79.37268021170371,83,High School,Yes,No,61,Pass
S093,Female,24,74.05726970281466,53,PhD,No,No,50,Fail
S090,Female,22,66.50497566550777,64,PhD,No,No,50,Fail
S286,Male,36,53.866053274439366,85,Bachelors,No,Yes,53,Fail
S422,Female,12,53.35876999578551,81,Bachelors,Yes,Yes,50,Fail
S215,Male,20,95.3933065231258,54,PhD,No,Yes,54,Fail
S373,Female,31,90.3425074481293,56,PhD,Yes,No,58,Fail
S434,Female,31,78.66471890897003,71,Bachelors,No,No,55,Fail
S142,Male,21,74.91238489244701,96,High School,No,No,61,Pass
S187,Female,22,60.08652311651179,78,Masters,No,Yes,50,Fail
S038,Male,34,74.00229835092375,71,PhD,No,No,54,Fail
S032,Male,38,65.38886198855246,93,PhD,No,No,67,Pass
S046,Female,22,80.40439247709426,93,Bachelors,Yes,No,55,Fail
S032,Male,38,65.38886198855246,93,PhD,No,No,67,Pass
S380,Male,39,81.66203874554803,97,Bachelors,Yes,Yes,66,Pass
S069,Female,35,73.0059579491786,74,PhD,No,Yes,60,Pass
S117,Male,18,67.70733353965628,75,Bachelors,Yes,Yes,50,Fail
S006,Female,27,53.17559147950007,57,Masters,Yes,No,50,Fail
S013,Male,23,87.49553747349859,88,Bachelors,Yes,No,57,Fail
S145,Female,28,50.37671815670374,53,PhD,No,No,50,Fail
S105,Female,26,61.80582665587022,74,High School,No,No,50,Fail
S244,Male,20,88.92859695253756,89,PhD,No,Yes,61,Pass
S124,Male,24,54.46021643560281,96,Bachelors,No,No,51,Fail
S224,Female,27,71.93723376941695,92,High School,Yes,Yes,59,Fail
S339,Female,38,91.82824066461664,64,PhD,Yes,Yes,61,Pass
S203,Male,10,68.96142924819003,82,Bachelors,No,No,58,Fail
S344,Female,17,76.72279456286235,73,PhD,Yes,No,50,Fail
S280,Female,39,89.50423185620434,67,PhD,No,Yes,64,Pass
S179,Male,29,75.30519781796735,77,Masters,No,No,61,Pass
S409,Female,21,84.94229265804522,90,Masters,Yes,Yes,63,Pass
S066,Female,38,78.98249672358692,96,Masters,No,No,71,Pass
S208,Female,14,91.3970443588746,94,High School,No,Yes,73,Pass
S392,Male,18,51.71140554102646,67,Masters,Yes,No,50,Fail
S183,Female,35,68.46152407549481,99,PhD,Yes,No,67,Pass
S391,Male,38,68.15296060975453,79,High School,No,Yes,60,Pass
S034,Female,32,98.39868827199115,64,PhD,Yes,No,67,Pass
S228,Female,35,76.5928739844087,67,Bachelors,No,No,62,Pass
S143,Female,35,66.5174240640457,74,Masters,Yes,No,59,Fail
S280,Female,39,89.50423185620434,67,PhD,No,Yes,64,Pass
S188,Male,13,84.22857739399166,100,Masters,Yes,Yes,65,Pass
S198,Female,33,87.2987262774359,73,Masters,No,Yes,72,Pass
S386,Female,39,85.19730675692547,62,PhD,Yes,No,57,Fail
S465,Female,31,67.57700805671094,96,PhD,No,Yes,62,Pass
S075,Male,24,70.5830607178764,98,Bachelors,Yes,No,57,Fail
S095,Female,32,75.58285067736307,86,Masters,Yes,Yes,63,Pass
S313,Female,30,95.63747314395644,78,High School,Yes,No,61,Pass
S315,Male,25,78.88159770457736,81,High School,No,No,59,Fail
S356,Male,17,98.94657178079805,57,Bachelors,Yes,No,50,Fail
S071,Female,26,70.01502444551407,69,Bachelors,No,No,50,Fail
S348,Female,36,55.14907396656578,93,High School,Yes,No,61,Pass
S261,Male,13,79.92213506026135,79,Bachelors,No,No,52,Fail
S037,Female,27,79.4977948568818,78,Masters,Yes,No,59,Fail
S494,Female,33,83.49587322750196,100,PhD,No,No,71,Pass
S496,Male,31,79.41318784849655,67,Bachelors,No,Yes,65,Pass
S409,Female,21,84.94229265804522,90,Masters,Yes,Yes,63,Pass
S340,Female,15,79.37268021170371,83,High School,Yes,No,61,Pass
S234,Female,39,86.52745684046508,61,Bachelors,No,Yes,53,Fail
S061,Male,31,53.311798892593295,98,Bachelors,No,No,67,Pass
S494,Female,33,83.49587322750196,100,PhD,No,No,71,Pass
S369,Male,37,86.04065481552533,64,High School,No,No,61,Pass
S104,Female,28,96.20208795537167,83,High School,No,Yes,67,Pass
S445,Female,15,91.85394953515147,93,Bachelors,No,Yes,67,Pass
S265,Male,33,91.33994139045392,53,PhD,No,No,50,Fail
S067,Female,31,67.07816052282725,59,Bachelors,No,No,50,Fail
S365,Male,22,66.96356229480955,73,Masters,No,No,61,Pass
S307,Female,21,96.14801158992424,84,Bachelors,Yes,No,65,Pass
S361,Female,29,62.69442820216521,56,Masters,Yes,Yes,54,Fail
S205,Female,38,86.07982753756386,90,Masters,Yes,No,72,Pass
S222,Male,38,81.20507720909188,59,PhD,Yes,No,60,Pass
S402,Female,34,78.28883099832802,87,High School,Yes,Yes,65,Pass
S413,Female,24,71.08519672766408,81,Masters,Yes,Yes,56,Fail
S206,Male,28,52.404732198204385,62,PhD,No,No,50,Fail
S032,Male,38,65.38886198855246,93,PhD,No,No,67,Pass
S254,Male,14,80.19789360362563,56,PhD,No,No,52,Fail
S397,Female,37,93.05340099873608,81,Bachelors,No,Yes,61,Pass
S456,Male,35,76.99213894540966,81,PhD,No,No,65,Pass
S101,Male,37,79.86390411277154,73,PhD,No,Yes,70,Pass
S347,Male,27,88.26781405331204,64,PhD,Yes,Yes,67,Pass
S132,Male,30,79.20997423570847,84,Masters,No,Yes,65,Pass
S238,Female,16,74.77118132019828,62,High School,No,No,50,Fail
S164,Female,25,86.14480483108878,54,Masters,No,Yes,50,Fail
S223,Female,28,76.98905309573165,81,Bachelors,Yes,Yes,65,Pass
S450,Female,17,97.46533985288829,55,Bachelors,No,No,50,Fail
S327,Male,32,93.0316008945367,78,Bachelors,Yes,Yes,77,Pass
S156,Female,23,84.84807311832108,74,PhD,No,Yes,68,Pass
S276,Female,18,86.30477930312003,59,High School,Yes,Yes,51,Fail
S040,Male,22,89.23341319721547,62,PhD,Yes,Yes,50,Fail
S100,Male,27,54.225850384034096,95,High School,No,Yes,56,Fail
S421,Female,13,74.90453767555029,89,High School,Yes,No,50,Fail
S417,Male,30,84.15919282227406,77,Masters,Yes,No,61,Pass
S004,Male,10,91.45821103532572,100,High School,No,No,59,Fail
S377,Female,35,70.3196154136761,85,PhD,No,No,59,Fail
S169,Male,39,91.92912793513125,87,High School,No,No,73,Pass
S010,Female,35,53.767953017623114,67,Masters,Yes,Yes,50,Fail
S478,Female,38,98.10493928820588,60,Masters,Yes,No,64,Pass
S327,Male,32,93.0316008945367,78,Bachelors,Yes,Yes,77,Pass
S166,Male,16,85.92286354182768,83,PhD,Yes,No,55,Fail
S098,Female,25,50.129751219182324,55,Masters,Yes,Yes,50,Fail
S235,Female,11,84.68588037016693,88,Bachelors,No,Yes,67,Pass
S458,Female,27,92.07648301550216,99,Bachelors,No,No,65,Pass
S394,Female,10,67.25960724406377,96,Masters,No,Yes,64,Pass
S101,Male,37,79.86390411277154,73,PhD,No,Yes,70,Pass
S325,Female,14,72.94944940085065,93,PhD,No,No,54,Fail
S310,Female,36,95.92273624696506,88,High School,Yes,No,64,Pass
S391,Male,38,68.15296060975453,79,High School,No,Yes,60,Pass
S051,Male,25,77.37231534495558,79,Masters,No,No,57,Fail
S235,Female,11,84.68588037016693,88,Bachelors,No,Yes,67,Pass
S201,Male,12,99.54647382286953,89,Masters,No,No,67,Pass
S042,Male,35,90.2522333759681,82,High School,Yes,Yes,68,Pass
S489,Male,27,99.02884000899941,85,High School,Yes,Yes,64,Pass
S103,Female,39,76.82953229936663,62,Masters,Yes,Yes,68,Pass
S484,Female,34,87.91962069728407,74,Masters,Yes,No,58,Fail
S419,Female,37,76.48308393275406,82,High School,No,Yes,63,Pass
S140,Male,32,80.37776111467863,87,High School,No,No,69,Pass
S345,Male,19,74.0543974193793,61,High School,Yes,No,51,Fail
S112,Male,14,84.35827527016656,94,High School,Yes,Yes,59,Fail
S228,Female,35,76.5928739844087,67,Bachelors,No,No,62,Pass
S011,Male,12,84.5857198584456,80,High School,No,Yes,60,Pass
S380,Male,39,81.66203874554803,97,Bachelors,Yes,Yes,66,Pass
S218,Male,22,84.14910317085662,100,High School,Yes,Yes,63,Pass
S397,Female,37,93.05340099873608,81,Bachelors,No,Yes,61,Pass
S298,Male,23,80.39471968971293,60,PhD,No,Yes,50,Fail
S200,Male,27,96.64690335499773,65,Bachelors,No,No,63,Pass
S082,Female,30,67.25413139111933,67,High School,No,No,50,Fail
S399,Female,34,98.7273632599435,94,Bachelors,No,Yes,66,Pass
S091,Female,29,66.07913823400145,98,Masters,No,Yes,60,Pass
S062,Male,28,52.293063320231646,78,PhD,Yes,No,50,Fail
S336,Female,35,73.41159142206897,52,PhD,Yes,No,50,Fail
S142,Male,21,74.91238489244701,96,High School,No,No,61,Pass
S076,Female,31,93.71588024272086,52,Bachelors,No,Yes,55,Fail
S339,Female,38,91.82824066461664,64,PhD,Yes,Yes,61,Pass
S334,Male,18,89.98910110371347,68,Bachelors,No,No,56,Fail
S250,Male,38,55.14580153720725,97,High School,Yes,Yes,58,Fail
S244,Male,20,88.92859695253756,89,PhD,No,Yes,61,Pass
S408,Female,35,87.08434721143328,73,Masters,No,Yes,60,Pass
S472,Female,37,50.116969531288916,71,PhD,Yes,No,55,Fail
S003,Male,32,69.64947244894296,58,PhD,Yes,No,57,Fail
S198,Female,33,87.2987262774359,73,Masters,No,Yes,72,Pass
S459,Male,37,92.32039246572786,61,Masters,No,No,61,Pass
S083,Male,37,67.38096072413418,86,High School,Yes,No,65,Pass
S023,Female,35,60.36138245040282,93,Bachelors,No,No,63,Pass
S212,Male,10,59.320249339407205,76,Bachelors,No,Yes,50,Fail
S423,Female,28,70.26240440138443,99,PhD,No,Yes,62,Pass
S419,Female,37,76.48308393275406,82,High School,No,Yes,63,Pass
S183,Female,35,68.46152407549481,99,PhD,Yes,No,67,Pass
S342,Female,23,85.7029599894914,98,Bachelors,No,No,60,Pass
S262,Female,27,78.27541736614869,86,PhD,No,Yes,59,Fail
S032,Male,38,65.38886198855246,93,PhD,No,No,67,Pass
S288,Male,26,92.02198159902115,61,Bachelors,No,No,59,Fail
S332,Male,24,69.8659057728799,69,Masters,No,No,54,Fail
S393,Female,16,91.53272532826249,95,PhD,Yes,Yes,64,Pass
S066,Female,38,78.98249672358692,96,Masters,No,No,71,Pass
S438,Female,32,71.10180297753436,88,Masters,Yes,Yes,51,Fail
S063,Male,34,81.04028422110457,93,High School,No,No,69,Pass
S462,Male,18,81.16662754524954,99,Bachelors,No,No,56,Fail
S153,Male,24,92.11570176490909,78,Masters,No,No,53,Fail
S499,Male,24,73.66050590406667,68,High School,Yes,No,57,Fail
S147,Male,31,68.26784098370288,86,High School,Yes,Yes,63,Pass
S283,Female,34,88.5623334259869,96,Bachelors,Yes,Yes,72,Pass
S329,Female,20,59.2231435709428,96,Bachelors,No,Yes,64,Pass
S159,Male,14,78.799920890283,91,PhD,No,Yes,61,Pass
S057,Female,37,89.82358878369386,84,High School,No,Yes,68,Pass
S279,Male,26,95.93752611303732,75,Masters,No,No,61,Pass
S247,Male,13,85.70320411118071,73,High School,Yes,No,53,Fail
S453,Female,13,56.75006387106035,58,Bachelors,No,Yes,50,Fail
S120,Male,10,86.87026030469096,52,Bachelors,Yes,No,50,Fail
S283,Female,34,88.5623334259869,96,Bachelors,Yes,Yes,72,Pass
S301,Male,35,60.27899041878187,83,Masters,No,No,62,Pass
S403,Male,33,99.26836561208674,90,High School,Yes,Yes,64,Pass
S490,Male,36,95.16819063180125,94,Masters,No,Yes,64,Pass
S044,Female,34,80.8631856048646,94,PhD,No,Yes,65,Pass
S256,Male,33,76.99303185564183,90,High School,Yes,Yes,69,Pass
S097,Female,29,68.86429826210363,92,High School,No,No,64,Pass
S289,Male,13,95.53430991278566,56,Bachelors,No,Yes,60,Pass
S284,Male,31,68.7217684860211,78,Bachelors,No,Yes,53,Fail
S458,Female,27,92.07648301550216,99,Bachelors,No,No,65,Pass
S026,Female,10,52.34482338956099,52,PhD,No,No,50,Fail
S200,Male,27,96.64690335499773,65,Bachelors,No,No,63,Pass
S184,Male,10,72.71339861095498,89,High School,No,Yes,54,Fail
S056,Female,24,84.88209357467318,81,Bachelors,No,Yes,67,Pass
S389,Male,37,66.79329285749175,70,Bachelors,No,Yes,55,Fail
S160,Female,21,95.86978065427658,58,Bachelors,Yes,Yes,66,Pass
S230,Male,38,61.451269546239814,51,Masters,Yes,No,50,Fail
S375,Male,36,97.22048627886367,93,Masters,Yes,Yes,65,Pass
S022,Male,11,63.736589851295435,84,Masters,Yes,Yes,50,Fail
S154,Male,26,52.58177389372564,58,Masters,Yes,Yes,50,Fail
S128,Male,25,73.69849707152781,84,High School,Yes,Yes,57,Fail
S094,Female,12,84.38923585480416,61,Bachelors,Yes,Yes,50,Fail
S050,Female,23,86.31985163251142,83,Bachelors,Yes,Yes,55,Fail
S293,Male,28,59.316043974706034,55,Masters,Yes,Yes,50,Fail
S480,Female,27,84.52801162228204,61,Masters,No,No,52,Fail
S122,Male,35,78.19825460094182,54,Bachelors,No,Yes,57,Fail
S281,Female,29,51.15113023938188,99,Bachelors,No,No,50,Fail
S222,Male,38,81.20507720909188,59,PhD,Yes,No,60,Pass
S343,Male,22,76.38238650723929,74,High School,Yes,No,50,Fail
S283,Female,34,88.5623334259869,96,Bachelors,Yes,Yes,72,Pass
S307,Female,21,96.14801158992424,84,Bachelors,Yes,No,65,Pass
S489,Male,27,99.02884000899941,85,High School,Yes,Yes,64,Pass
S367,Female,13,94.37302412567516,69,PhD,No,Yes,62,Pass
S370,Male,28,90.26574836789526,74,PhD,No,Yes,64,Pass
S163,Female,35,74.53743896293922,74,High School,Yes,Yes,57,Fail
S464,Male,36,67.21918660221166,69,Masters,No,No,57,Fail
S491,Female,22,82.33324595585816,57,Masters,No,No,50,Fail
S359,Male,10,70.39922476824223,95,PhD,No,No,50,Fail
S321,Female,35,61.00486070405485,60,Bachelors,Yes,No,50,Fail
S268,Female,14,61.36754915149935,85,High School,Yes,Yes,50,Fail
S310,Female,36,95.92273624696506,88,High School,Yes,No,64,Pass
S370,Male,28,90.26574836789526,74,PhD,No,Yes,64,Pass
S369,Male,37,86.04065481552533,64,High School,No,No,61,Pass
S097,Female,29,68.86429826210363,92,High School,No,No,64,Pass
S417,Male,30,84.15919282227406,77,Masters,Yes,No,61,Pass
S114,Female,30,87.48081160042938,59,Masters,No,Yes,50,Fail
S207,Female,20,89.07572408757075,92,Bachelors,Yes,Yes,62,Pass
S029,Female,31,74.90825933229465,89,PhD,Yes,No,68,Pass
S269,Male,21,71.17984312102415,99,High School,Yes,No,59,Fail
S375,Male,36,97.22048627886367,93,Masters,Yes,Yes,65,Pass
S061,Male,31,53.311798892593295,98,Bachelors,No,No,67,Pass
S300,Female,28,87.21248259216443,75,Bachelors,No,No,65,Pass
S467,Female,18,85.24627748444766,60,Masters,Yes,Yes,52,Fail
S282,Female,25,82.5683605494123,63,High School,Yes,Yes,54,Fail
S130,Female,17,82.4411420145788,98,PhD,No,Yes,62,Pass
S207,Female,20,89.07572408757075,92,Bachelors,Yes,Yes,62,Pass
S500,Female,26,65.64274282527938,71,High School,Yes,No,52,Fail
S299,Male,29,68.96528491927744,72,Bachelors,No,Yes,50,Fail
S188,Male,13,84.22857739399166,100,Masters,Yes,Yes,65,Pass
S277,Male,39,79.64814526294109,50,Masters,Yes,No,55,Fail
S410,Female,22,70.12750217984903,66,Masters,Yes,No,50,Fail
S342,Female,23,85.7029599894914,98,Bachelors,No,No,60,Pass
S444,Female,17,53.41248526770458,91,High School,Yes,No,50,Fail
S055,Male,32,76.18011380075056,81,Bachelors,No,No,56,Fail
S457,Female,37,58.10069389457923,90,High School,No,Yes,58,Fail
S263,Male,26,85.80895373664761,78,Bachelors,Yes,Yes,58,Fail
S080,Female,10,61.19245329531603,99,High School,No,Yes,53,Fail
S370,Male,28,90.26574836789526,74,PhD,No,Yes,64,Pass
S202,Female,37,60.25009050266186,77,PhD,Yes,No,51,Fail
S374,Female,16,98.13246592774374,66,Masters,No,No,51,Fail
S028,Female,20,51.109237101515085,92,PhD,Yes,Yes,51,Fail
S415,Male,25,95.02861506181928,65,Masters,Yes,Yes,50,Fail
S294,Female,21,91.8745394501246,96,Masters,Yes,Yes,65,Pass
S378,Male,28,66.19950305533999,58,High School,Yes,Yes,53,Fail
S416,Male,31,84.56109288048272,71,Masters,Yes,Yes,56,Fail
S437,Female,25,88.54556885321352,87,High School,No,No,61,Pass
S099,Female,22,93.41505535177934,88,High School,No,No,63,Pass
S360,Male,31,77.58612976296699,99,Masters,Yes,No,66,Pass
S007,Male,34,51.84109338179957,99,PhD,Yes,No,54,Fail
S495,Male,10,52.208271885505006,93,Masters,Yes,Yes,52,Fail
S135,Male,38,79.32677173303796,66,High School,Yes,Yes,57,Fail
S042,Male,35,90.2522333759681,82,High School,Yes,Yes,68,Pass
S488,Female,39,81.86157898947434,95,PhD,No,Yes,61,Pass
S307,Female,21,96.14801158992424,84,Bachelors,Yes,No,65,Pass
S323,Female,23,75.75868412034063,52,Masters,Yes,Yes,50,Fail
S353,Male,14,94.87152049094422,74,Masters,Yes,Yes,63,Pass
